BMT:4th Avenue:25 St:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:25th St:SE:40660323:-73997952
BMT:4th Avenue:36 St:N,R,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:36th St:NE:40654365:-74004113
BMT:4th Avenue:4 Av-9 St:F,G,R,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:9th St:NE:40670387:-73988480
BMT:4th Avenue:45 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:45th St:NE:40649389:-74009333
BMT:4th Avenue:53 St:R,,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:4th Ave:52nd St:NW:40645619:-74013688
BMT:4th Avenue:59 St:N,R,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:59th St:NE:40641633:-74017362
BMT:4th Avenue:77 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:4th Ave:77th St:NE:40629503:-74025452
BMT:4th Avenue:86 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:4th Ave:85th St:SW:40623498:-74028204
BMT:4th Avenue:95 St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:4th Ave:93th St:NE:40617363:-74030404
BMT:4th Avenue:Atlantic Av-Pacific St:B,D,N,Q,R,2,3,4,5,,:TRUE::TRUE:Stair:YES::FULL:4th Ave:Pacific St:NE:40683928:-73978412
BMT:4th Avenue:Bay Ridge Av:R,,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:4th Ave:68th St:NW:40635468:-74023313
BMT:4th Avenue:DeKalb Av:Q,R,,,,,,,,,:TRUE::TRUE:Stair:YES::FULL:Flatbush Ave:De Kalb Ave:SE:40689817:-73981082
BMT:4th Avenue:Prospect Av:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:Prospect Ave:NE:40665299:-73992729
BMT:4th Avenue:Union St:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:4th Ave:Union St:SE:40677171:-73983020
BMT:Astoria:30 Av:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:30th Ave:NE:40766963:-73921192
BMT:Astoria:36 Av:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:36th Ave:NW:40756796:-73929740
BMT:Astoria:39 Av:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:39th Ave:NW:40752901:-73932903
BMT:Astoria:Astoria Blvd:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:Hoyt Ave North:NE:40770870:-73916935
BMT:Astoria:Astoria-Ditmars Blvd:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:23rd Ave:NE:40775025:-73911891
BMT:Astoria:Broadway:N,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:31st St:Broadway:NW:40762217:-73925349
BMT:Brighton:7 Av:B,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Carlton Ave:Park Pl:SE:40677324:-73972212
BMT:Brighton:Atlantic Av:B,D,N,Q,R,2,3,4,5,,:TRUE::TRUE:Easement:YES::NONE:Ashland Pl:Hanson Pl:NE:40685222:-73977628
BMT:Brighton:Avenue H:B,Q,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:15th St:Avenue H:SE:40629884:-73961882
BMT:Brighton:Avenue J:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:15th St:Avenue J:SE:40625140:-73960798
BMT:Brighton:Avenue M:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:15th St:Avenue M:SE:40617928:-73959454
BMT:Brighton:Avenue U:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:15th St:Avenue U:SE:40598991:-73955828
BMT:Brighton:Beverly Rd:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:Marlborough Rd:Beverly Rd:SE:40644272:-73964528
BMT:Brighton:Brighton Beach:B,Q,,,,,,,,,:FALSE::TRUE:Escalator:YES::FULL:7 St:Brighton Beach:NE:40577986:-73960258
BMT:Brighton:Church Av:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:18th St:Church Ave:NW:40649427:-73963356
BMT:Brighton:Cortelyou Rd:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:Marlborough Rd:Cortelyou Rd:SE:40641314:-73963996
BMT:Brighton:Kings Hwy:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:15th St:Kings Hwy:SE:40608835:-73957769
BMT:Brighton:Neck Rd:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:15th St:Gravesend Neck Rd:NE:40595020:-73955120
BMT:Brighton:Newkirk Av:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:Marlborough Rd:Newkirk Ave:SE:40635034:-73962736
BMT:Brighton:Ocean Pkwy:Q,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Ocean Pkwy:Brighton Beach Rd:SE:40576234:-73967561
BMT:Brighton:Parkside Av:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:Ocean Ave:Parkside Ave:NE:40655221:-73961516
BMT:Brighton:Prospect Park:B,Q,FS,,,,,,,,:TRUE::TRUE:Stair:YES::NONE:Flatbush Ave:Empire Blvd:SW:40662727:-73962249
BMT:Brighton:Sheepshead Bay:B,Q,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:14th St:Voorhies Ave:NE:40585734:-73954371
BMT:Broadway:14 St-Union Sq:L,N,Q,R,4,5,6,,,,:TRUE:Lex not ADA:TRUE:Easement:YES::NONE:4th Ave:15th St:SW:40735184:-73989793
BMT:Broadway:23 St:N,R,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:5th Ave:22nd St:NE:40741208:-73989639
BMT:Broadway:28 St:N,R,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:Broadway:28th St:SE:40745089:-73988472
BMT:Broadway:34 St-Herald Sq:B,D,F,M,N,Q,R,,,,:TRUE::TRUE:Stair:YES::NONE:6th Ave:34th St:NE:40749891:-73987495
BMT:Broadway:49 St:N,Q,R,,,,,,,,:TRUE:Northbound Only:FALSE:Easement:YES::NONE:7th Ave:49th St:NE:40760454:-73983388
BMT:Broadway:57 St-7 Av:N,Q,R,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:7th Ave:57th St:NE:40765639:-73979764
BMT:Broadway:5th Av/59 St:N,Q,R,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:5th Ave:60th St:SE:40764657:-73972229
BMT:Broadway:8 St-NYU:N,R,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:Broadway:8th Ave:NE:40730578:-73992216
BMT:Broadway:Canal St:J,N,Q,R,Z,6,,,,,:FALSE:NQRZ not ADA:TRUE:Stair:YES::PART:Broadway:Canal St:NE:40719498:-74001606
BMT:Broadway:City Hall:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Broadway:Warren St:SE:40713521:-74006697
BMT:Broadway:Cortlandt St:R,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Church St:Dey St:SE:40711065:-74010644
BMT:Broadway:Court St:R,2,3,4,5,,,,,,:FALSE:R not ADA:TRUE:Stair:YES::NONE:Clinton St:Montague St:NW:40694416:-73992619
BMT:Broadway:Jay St-MetroTech:A,C,F,R,,,,,,,:TRUE::TRUE:Stair:YES::NONE:Bridge St:Willoughby St:NE:40692315:-73985172
BMT:Broadway:Lexington Av/59 St:N,Q,R,4,5,6,,,,,:FALSE::TRUE:Stair:YES::NONE:3rd Ave:60th St:NE:40762255:-73965918
BMT:Broadway:Prince St:N,R,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:Broadway:Prince St:NE:40724220:-73997633
BMT:Broadway:Rector St:R,,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:Greenwich St:Morris St:NE:40706345:-74014000
BMT:Broadway:Times Sq-42 St:A,C,E,N,Q,R,GS,1,2,3,7:TRUE:Shuttle not ADA:TRUE:Stair:YES::NONE:Broadway:40th St:NE:40754301:-73986623
BMT:Broadway:Whitehall St-South Ferry:R,1,,,,,,,,,:FALSE:R not ADA:TRUE:Stair:YES::FULL:Whitehall St:Water St:SE:40701938:-74012588
BMT:Canarsie:1 Av:L,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:1st Av:14th St:NE:40731397:-73982112
BMT:Canarsie:3 Av:L,,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:3rd Av:14th St:NE:40733122:-73986548
BMT:Canarsie:6 Av:F,L,M,1,2,3,,,,,:FALSE::TRUE:Stair:YES::NONE:6th Av:14th St:SE:40737149:-73996578
BMT:Canarsie:8 Av:A,C,E,L,,,,,,,:TRUE::TRUE:Stair:YES::FULL:8th Av:14th St:SE:40739550:-74002389
BMT:Canarsie:Atlantic Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Snediker Av:New York Av:SW:40675380:-73902612
BMT:Canarsie:Bedford Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Bedford Av:N 7th St:NE:40717821:-73957568
BMT:Canarsie:Bushwick Av-Aberdeen St:L,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:De Sales Pl:Bushwick Av:NW:40682300:-73905149
BMT:Canarsie:Canarsie-Rockaway Pkwy:L,,,,,,,,,,:TRUE::TRUE:Walkway:YES::NONE:E 98 St:Glenwood Rd:NE:40645957:-73901755
BMT:Canarsie:DeKalb Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:DeKalb Av:Wycoff Av:NE:40704379:-73919026
BMT:Canarsie:East 105 St:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Turnbull Av:E 105th St:SE:40651278:-73898862
BMT:Canarsie:Graham Av:L,,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:Graham Av:Metropolitan Av:SE:40714439:-73944190
BMT:Canarsie:Grand St:L,,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:Grand St:Bushwick Av:SW:40711912:-73940433
BMT:Canarsie:Halsey St:L,,,,,,,,,,:FALSE::FALSE:Stair:YES::NONE:Covert St:Wyckoff Av:NW:40695201:-73903764
BMT:Canarsie:Jefferson St:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Jefferson St:Wyckoff Av:NW:40707229:-73923725
BMT:Canarsie:Livonia Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Van Sinderen Av:Livonia Av:SW:40663749:-73900482
BMT:Canarsie:Lorimer St:G,L,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Lorimer St:Metropolitan Av:SE:40713908:-73949262
BMT:Canarsie:Montrose Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Montrose Av:Bushwick Av:NW:40707819:-73939749
BMT:Canarsie:Morgan Av:L,,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:Bogart St:Harrison Pl:NW:40706073:-73933633
BMT:Canarsie:Myrtle-Wyckoff Avs:L,M,,,,,,,,,:TRUE::TRUE:Stair:YES::NONE:Palmetto St:Wyckoff Av:NE:40699468:-73910648
BMT:Canarsie:New Lots Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Van Sinderen Av:New Lots Av:SW:40659041:-73899409
BMT:Canarsie:Sutter Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:LIRR Bay Ridge Divide:Sutter Av:NW:40668527:-73901765
BMT:Canarsie:Wilson Av:L,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:LIRR Bay Ridge Divide:Wilson Ave:NW:40688805:-73904741
BMT:Coney Island:Coney Island-Stillwell Av:D,F,N,Q,,,,,,,:TRUE::TRUE:Stair:YES::FULL:Stillwell Ave:Mermaid Ave:SE:40576900:-73980846
BMT:Coney Island:West 8 St-NY Aquarium:F,Q,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:8th St:Surf Ave:NW:40575929:-73976747
BMT:Franklin Shuttle:Botanic Garden:FS,2,3,4,5,,,,,,:FALSE::TRUE:Stair:YES::FULL:Franklin Av:Eastern Pkwy:SW:40670588:-73959093
BMT:Franklin Shuttle:Park Pl:FS,,,,,,,,,,:TRUE::TRUE:Stair:YES::FULL:Franklin Av:Park Pl:NW:40675208:-73957591
BMT:Jamaica:104 St:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:104th St:Jamaica Av:NE:40695267:-73843223
BMT:Jamaica:111 St:J,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:111th St:Jamaica Blvd:NE:40696771:-73837042
BMT:Jamaica:121 St:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:121st St:Jamaica Av:NW:40700520:-73829231
BMT:Jamaica:75 St-Elderts Ln:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:75th St:Jamaica:SE:40691285:-73866425
BMT:Jamaica:85 St-Forest Pkwy:J,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:85th St:Jamaica Av:SE:40692381:-73858975
BMT:Jamaica:Alabama Av:J,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Alabama Av:Fulton St:SE:40676803:-73899510
BMT:Jamaica:Chauncey St:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Moffat St:Broadway:SW:40683417:-73911242
BMT:Jamaica:Cleveland St:J,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Cleveland::SW:40679530:-73885716
BMT:Jamaica:Crescent St:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Pine St:Fulton St:SE:40683478:-73872548
BMT:Jamaica:Cypress Hills:J,,,,,,,,,,:FALSE::TRUE:Stair:NO:YES:NONE:Autumn Av:Jamaica Av:SE:40690142:-73871630
BMT:Jamaica:Flushing Av:J,M,,,,,,,,,:TRUE::TRUE:Stair:YES::FULL:Flushing Av:Broadway:NW:40700847:-73941710
BMT:Jamaica:Gates Av:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Linden St:Broadway:NW:40690142:-73923062
BMT:Jamaica:Halsey St:J,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Weirfield St:Broadway:NE:40685946:-73915713
BMT:Jamaica:Hewes St:J,M,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Hooper St:Broadway:NW:40707248:-73954326
BMT:Jamaica:Kosciusko St:J,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Patchen Av:Broadway:SW:40692929:-73927940
BMT:Jamaica:Lorimer St:J,M,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Lorimer St:Broadway:NW:40703454:-73946536
BMT:Jamaica:Marcy Av:J,M,Z,,,,,,,,:TRUE::FALSE:Stair:YES::NONE:Havemeyer St:Broadway:NE:40708788:-73958826
BMT:Jamaica:Myrtle Av:J,M,Z,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Broadway:Myrtle Av:NW:40696893:-73935461
BMT:Jamaica:Norwood Av:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Norwood::SE:40681643:-73878984
BMT:Jamaica:Van Siclen Av:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Van Siclen::SE:40677864:-73891566
BMT:Jamaica:Woodhaven Blvd:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:95th St:Jamaica Av:SW:40694077:-73850476
BMT:Myrtle Avenue:Central Av:M,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Myrtle Av:Cedar St:NW:40698033:-73926371
BMT:Myrtle Avenue:Forest Av:M,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Forest Av:Myrtle Av:NW:40704729:-73902243
BMT:Myrtle Avenue:Fresh Pond Rd:M,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:62nd St:67th Av:SE:40706115:-73895559
BMT:Myrtle Avenue:Knickerbocker Av:M,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Myrtle Av:Greene Av:NW:40698717:-73918655
BMT:Myrtle Avenue:Middle Village-Metropolitan Av:M,,,,,,,,,,:TRUE::TRUE:Door:YES::FULL:69th St:Metropolitan Av:SW:40712082:-73889540
BMT:Myrtle Avenue:Seneca Av:M,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Myrtle Av:Seneca Av:NE:40702780:-73907515
BMT:Nassau Loop:Bowery:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Bowery:Delencey St:NE:40720291:-73993411
BMT:Nassau Loop:Broad St:J,Z,,,,,,,,,:FALSE::TRUE:Stair:YES::PART:Broad St:Wall St:SE:40706911:-74010494
BMT:Nassau Loop:Canal St:J,N,Q,R,Z,6,,,,,:FALSE:NQRZ not ADA:TRUE:Stair:YES::NONE:Centre St:Canal St:SW:40717823:-74000326
BMT:Nassau Loop:Chambers St:J,Z,4,5,6,,,,,,:FALSE:JZ not ADA:TRUE:Stair:YES::NONE:Lafayette St:Duane St:NE:40714199:-74003187
BMT:Nassau Loop:Delancey St-Essex St:F,J,M,Z,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Norfolk St:Delancey St:NE:40718410:-73987181
BMT:Nassau Loop:Fulton St:A,C,J,Z,2,3,4,5,,,:FALSE::TRUE:Stair:YES::NONE:Fulton St:Nassau St:NE:40710211:-74007584
BMT:Sea Beach:18 Av:N,,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:17th Av:64th St:NE:40621306:-73991469
BMT:Sea Beach:20 Av:N,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:20th Ave:64th St:NE:40617341:-73984840
BMT:Sea Beach:8 Av:N,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:8th Ave:62nd St:NW:40634552:-74010726
BMT:Sea Beach:86 St:N,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:8th St:86th St:SE:40592724:-73978227
BMT:Sea Beach:Avenue U:N,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:8th St:Avenue U:NE:40596459:-73978943
BMT:Sea Beach:Bay Pkwy:N,,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:8th St:Avenue O:NE:40610572:-73981613
BMT:Sea Beach:Fort Hamilton Pkwy:N,,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:11th Av:62nd St:NW:40630609:-74004067
BMT:Sea Beach:Kings Hwy:N,,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:7th St:Highlawn Av:SW:40603212:-73980199
BMT:Sea Beach:New Utrecht Av:D,N,,,,,,,,,:FALSE::TRUE:Door:YES::NONE:63rd St:15th Ave:SE:40624246:-73995962
BMT:West End:18 Av:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:18th Ave:85th St:SE:40607602:-74001491
BMT:West End:20 Av:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:20th Ave:86th St:NE:40604587:-73998007
BMT:West End:25 Av:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:25th Ave:86th St:NE:40597889:-73986958
BMT:West End:50 St:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:New Utrecht Ave:49th St:SE:40636405:-73994673
BMT:West End:55 St:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:New Utrecht Ave:55th St:SE:40631389:-73995262
BMT:West End:62 St:D,N,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:14th Ave:61st St:NE:40627299:-73996465
BMT:West End:71 St:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:New Utrecht Ave:Bay Ridge Ave:SE:40620360:-73998550
BMT:West End:79 St:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:New Utrecht Av:77th St:NE:40614018:-74000378
BMT:West End:9 Av:D,,,,,,,,,,:FALSE::TRUE:Door:YES::FULL:9th Ave:New Utrecht Ave:NE:40646337:-73994489
BMT:West End:Bay 50 St:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Stillwell Ave:Bay 50th St:SE:40588066:-73983498
BMT:West End:Bay Pkwy:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Bay Pkwy:86th St:NE:40601898:-73993538
BMT:West End:Fort Hamilton Pkwy:D,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:New Utrecht Ave:44th St:NE:40641379:-73994188
IND:63rd Street:21 St-Queensbridge:F,,,,,,,,,,:TRUE::TRUE:Stair:YES::FULL:21st St:41st Ave:NE:40754255:-73941935
IND:63rd Street:Lexington Av/63 St:F,,,,,,,,,,:TRUE::TRUE:Escalator:YES::FULL:Lexington Av:63rd St:NW:40764881:-73966411
IND:63rd Street:Roosevelt Island:F,,,,,,,,,,:TRUE::TRUE:Door:YES::FULL:West Rd:Unnamed St:SE:40759016:-73953505
IND:6th Avenue:14 St:F,L,M,1,2,3,,,,,:FALSE::TRUE:Stair:YES::NONE:6th Ave:16th St:NE:40738678:-73995632
IND:6th Avenue:2 Av:F,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:1st Ave:Houston St:NW:40723200:-73988863
IND:6th Avenue:23 St:F,M,,,,,,,,,:FALSE::FALSE:Stair:YES::FULL:6th Ave:23rd St:NE:40742825:-73992383
IND:6th Avenue:34 St-Herald Sq:B,D,F,M,N,Q,R,,,,:TRUE::TRUE:Easement:YES::PART:6th Av:33rd St:SW:40748950:-73988623
IND:6th Avenue:42 St-Bryant Pk:B,D,F,M,7,,,,,,:FALSE::TRUE:Stair:YES::NONE:6th Av:42nd St:NE:40754832:-73983657
IND:6th Avenue:47-50 Sts-Rockefeller Ctr:B,D,F,M,,,,,,,:TRUE::TRUE:Easement:YES::FULL:6th Av:50th St:NE:40759953:-73980117
IND:6th Avenue:57 St:F,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:6th Av:57th St:NE:40764564:-73976830
IND:6th Avenue:B'way-Lafayette St:B,D,F,M,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Broadway:Houston St:SE:40725499:-73996387
IND:6th Avenue:Delancey St-Essex St:F,J,M,Z,,,,,,,:FALSE::TRUE:Escalator:NO:YES:FULL:Essex St:Delancey St:NE:40718841:-73987902
IND:6th Avenue:East Broadway:F,,,,,,,,,,:FALSE::TRUE:Stair:YES::NONE:Essex St:Canal St:NE:40714404:-73989918
IND:6th Avenue:Grand St:B,D,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Chrystie St:Grand St:NE:40718155:-73993452
IND:6th Avenue:York St:F,,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Jay St:York St:SW:40701380:-73986655
IND:8th Avenue:103 St:B,C,,,,,,,,,:FALSE::TRUE:Stair:YES::FULL:Central Park W:103rd St:NW:40796263:-73961610
